,p,t,k,f,eth,s,esh,b,d,g,v,eth(v),z,esh(v),m
p,,,,,,,,,,,,,,,
t,1.47,,,,,,,,,,,,,,
k,0.84,1.42,,,,,,,,,,,,,
f,2.29,2.87,2.57,,,,,,,,,,,,
eth,2.06,2.55,2.51,0.85,,,,,,,,,,,
s,3,3.03,2.77,2.72,1.82,,,,,,,,,,
esh,3.26,3.01,3.1,3.56,3,2.15,,,,,,,,,
b,3.82,4.37,3.88,3.09,3.1,3.67,4.41,,,,,,,,
d,3.7,3.8,3.88,3.64,3.18,3.45,3.39,2.84,,,,,,,
g,4.11,4.01,3.6,4.17,3.27,3.39,3.91,2.7,1.09,,,,,,
v,3.9,3.83,3.85,3.37,3.16,3.78,3.92,1.58,2.84,2.91,,,,,
eth(v),3.7,4.11,3.9,3.37,3.44,3.68,3.97,1.91,2.35,2.13,1.09,,,,
z,3.66,3.84,3.81,4.04,3.42,3.35,4.04,2.91,2.27,1.98,2.54,1.82,,,
esh(v),4.06,4.08,3.98,4.6,4.11,3.79,4.34,3.61,2.42,2.06,3.64,3.33,1.98,,
m,3.6,3.83,3.83,4.13,3.83,4.07,4.34,3.29,3.72,3.52,3.46,3.31,3.82,4.16,
n,4.11,4.04,3.88,4.39,4.03,4.31,4.41,3.75,3.45,3.49,3.77,3.54,4.09,3.54,1.9
