,syll,cons,son,cont,delrel,sib,voice,nas,high,back,ant,lab,cor,distr,lat
p,-,+,-,-,-,-,-,-,-,-,+,+,-,+,-
b,-,+,-,-,-,-,+,-,-,-,+,+,-,+,-
t,-,+,-,-,-,-,-,-,-,-,+,-,+,-,-
d,-,+,-,-,-,-,+,-,-,-,+,-,+,-,-
k,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-
g,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-
ch,-,+,-,-,+,+,-,-,+,-,-,-,+,+,-
dj,-,+,-,-,+,+,+,-,+,-,-,-,+,+,-
f,-,+,-,+,0,-,-,-,-,-,+,+,-,-,-
v,-,+,-,+,0,-,+,-,-,-,+,+,-,-,-
eth,-,+,-,+,0,-,-,-,-,-,+,-,+,-,-
eth(v),-,+,-,+,0,-,+,-,-,-,+,-,+,-,-
s,-,+,-,+,0,+,-,-,-,-,+,-,+,-,-
z,-,+,-,+,0,+,+,-,-,-,+,-,+,-,-
esh,-,+,-,+,0,+,-,-,+,-,-,-,+,+,-
esh(v),-,+,-,+,0,+,+,-,+,-,-,-,+,+,-
h,-,+,-,+,0,-,-,-,-,-,-,-,-,-,-
m,-,+,+,-,0,-,+,+,-,-,+,+,-,+,-
n,-,+,+,-,0,-,+,+,-,-,+,-,+,-,-
ng,-,+,+,-,0,-,+,+,+,+,-,-,-,-,-
l,-,+,+,+,0,-,+,-,-,-,-,-,+,-,+
r,-,+,+,+,0,-,+,-,-,-,-,-,+,-,-
w,-,-,+,+,0,-,+,-,+,+,-,+,-,+,-
j,-,-,+,+,0,-,+,-,+,-,-,-,+,+,-
